Article Title,Author,Journal Title,Publication Date,Publisher,Subjects,Keywords,text
Does democracy cause trade policy liberalisation? Unpacking the black box of trade policy.,"Chen, Chao; Li, Andrew X.",Journal of International Relations & Development,18-Sep,Palgrave Macmillan Ltd.,DEMOCRACY; INTERNATIONAL trade; COMMERCIAL policy; TARIFF -- Law & legislation; FREE trade; INTERNATIONAL relations; DEVELOPED countries; DEVELOPING countries,democracy; optimal obfuscation; tariff barrier; trade facilitation; trade openness,"This paper contributes to the ongoing debate on the relationship between democracy and the liberalisation of international trade. A number of well-known works in international political economy have argued that democracy promotes trade liberalisation. However, these previous studies have taken trade policy as a whole and largely ignored the sub-dimensions of trade policy. In this paper, we disaggregate trade policy into tariff barrier, trade facilitation and trade openness and argue that democracy reduces trade barrier and promotes trade facilitation, but does not necessarily make the economy more dependent on trade. We test our hypotheses using a panel of about 150 developed and developing countries in the period from 1974 to 2014 and estimate four equations to obtain four different estimators for each dependent variable of interest. Specifically, we investigate the effects of democracy on tariff barrier, trade facilitation and trade openness using pooled OLS, fixed effect (FE), instrumental variable (IV) and system general method of moments (GMM) estimators. Overall, our hypotheses receive good empirical support. With other confounding factors being controlled for, democracy is negatively associated with tariff rate, positively associated with the Logistics Performance Index, but there is no evidence that democracy increases a country’s trade openness. [ABSTRACT FROM AUTHOR] Copyright of Journal of International Relations & Development is the property of Palgrave Macmillan Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Does Russo-Chinese Partnership Threaten America's Interests in Asia?,"Blank, Stephen; Kim, Younkyoo",Orbis,2016,Elsevier B.V.,INTERNATIONAL relations; INTERNATIONAL security; GOVERNMENT policy; UKRAINE; ASIA; BUSINESS partnerships,,"The Russo-Chinese relationship is one of the most important relationships in both Asian and international security. It is undergoing dynamic evolution as a result of the Russian war in Ukraine. This article stresses that the bilateral relationship is one where both Moscow and Beijing espouse the logic of the strategic triangle vis-a-vis the United States. But Washington renounces the effort to deal with Russia and its Asian relations as a strategic entity. Moreover, over the last 12-18 months, although Russia has sought an independent standing in Asia apart from China, it is increasingly unable to compete with China or assert that independence, due to its invasion of Ukraine, isolation from the West, sanctions, and failed economic policies. Thus, it is losing out to China and becoming more dependent on it. These trends are apparent in Russian policies towards Japan, the two Koreas, Southeast Asia, and Central Asia. [ABSTRACT FROM AUTHOR] Copyright of Orbis is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
'Doing some things' in the Xi Jinping era: the United Nations as China's venue of choice.,"FOOT, ROSEMARY",International Affairs,14-Sep,Oxford University Press / USA,"INTERNATIONAL relations; PEACE -- International cooperation; GREAT powers (International relations); HUMAN rights -- International cooperation; RESPONSIBILITY to protect (International law); SOVEREIGNTY; POLITICAL leadership; INTERNATIONAL cooperation on developing countries; CHINA; UNITED Nations; CHINA -- Politics & government -- 2002-; CHINA -- Foreign relations -- 1976-; XI, Jinping, 1953-",,"A more powerful China under the seemingly confident leadership of President Xi Jinping has committed to a more activist global policy. In particular, this commitment has influenced Beijing's policy towards UN peacekeeping operations, with a long-awaited decision to add combat forces to the engineering troops and police and medical units that have been features of its past contribution. In addition, Beijing has doubled the size of its contribution to the UN peace operations budget. This article explains why the UN is a key venue for China to demonstrate its 'responsible Great Power' status and expressed willingness to provide global public goods. The main explanatory factors relate to the UN's institutional design, which accords special status to China even as it represents a global order that promotes the sovereign equality of states. Moreover, there are complementarities between dominant Chinese beliefs and interests, and those contained within the UN system. Especially important in this latter regard are the links that China has tried to establish between peacebuilding and development assistance with the aim of strengthening the capacity of states. China projects development support as a contribution both to humanitarian need and to the harmonization of conflict-ridden societies. The Chinese leadership has also spoken of its willingness to contribute to peacemaking through stepping up its efforts at mediation. However, such a move will require much deeper commitment than China has demonstrated in the past and runs the risk of taking China into controversial areas of policy it has hitherto worked to avoid. [ABSTRACT FROM AUTHOR] Copyright of International Affairs is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Domestic Politics and US-China Trade Disputes over Renewable Energy.,Ka Zeng,Journal of East Asian Studies,Sep-Dec2015,Cambridge University Press,INTERNATIONAL trade disputes; RENEWABLE energy sources; INTERNATIONAL economic relations; TRADE regulation; SOLAR energy; ALTERNATIVE fuels; CHINA-United States relations,China; domestic politics; renewable energy; solar energy; trade disputes; TRIMs; two-level games; United States,"In this article I draw on the two-level game approach to analyze the influence of domestic politics on US-China trade disputes in alternative energy, especially in solar energy. I suggest that the difficulty Washington faces in getting China to address market access barriers in alternative energy needs to be viewed in light of both the coalitional dynamics in the United States resulting from the specific bilateral trade and investment relationship in this sector and Beijing's willingness to use industrial policy to foster economic competitiveness in nascent industries. Specifically, as China occupies the middle of the supply chain in the solar industry, both downstream users of low-cost Chinese imports and exporters of upstream products to China have voiced strong concerns about US trade action. Such domestic opposition, coupled with the importance of industrial policy for defending the country's long-term interests in a ""strategic emerging"" sector such as alternative energy, substantially constrains Washington's ability to influence Chinese policies. [ABSTRACT FROM AUTHOR] Copyright of Journal of East Asian Studies is the property of Cambridge University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Dramatic Change in North Korea: Instability and human Flight Propensity.,"Coggins, Bridget L.; Lafia, Sara; Torghabeh, Behzad Vahedi",North Korean Review,Spring2018,"McFarland & Company, Inc.",NATIONAL security; INTERNATIONAL relations; HUMANITARIAN assistance; BORDER security; KOREA (North) -- Politics & government,human flight; human security; internally displaced persons; migration; North Koreac,"Purpose: Though many forecast North Korea's political collapse, few explore the human flight that might result. Yet the timing, patterns, and responses to civilian flight in the event of major instability are critically important to Northeast Asia's security. Nearly every estimate of regime collapse anticipates that large refugee flows will prompt countervailing interventions from China and South Korea and its allies. Most of these numbers are, unfortunately, more akin to guesses than calculations. This research aims to improve upon the existing estimates. Design, Methodology, Approach: The paper uses quantitative data and case analysis to estimate and map North Koreans' human flight propensity. Findings: First, most scenarios thought to cause governmental collapse, crossnationally and cross-historically, do not typically do so. Next, tailoring its human flight analysis to North Korea's demography, geography and politics, it finds that substantially smaller numbers of refugees are likely to want to flee to China, and that they will flee more slowly than others estimate. Instead, most will remain within North Korea, becoming internally displaced persons (IDPs). Practical Implications: The results suggest significantly lower refugee-based, regional, military escalatory pressures. however, internally stranded civilians would pose a greater international humanitarian problem than anticipated to date. [ABSTRACT FROM AUTHOR] Copyright of North Korean Review is the property of McFarland & Company, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"Dynamics of Competition, Power Balancing, and Security Dilemma.","Sitaraman, Srinivasan",Georgetown Journal of International Affairs,Winter/Spring2014,Georgetown University Press,ECONOMIC competition; POWER (Social sciences); NATIONAL security; TRUST; INTERNATIONAL relations; SOCIAL conflict; MILITARY strategy; CHINA-India relations; SOCIAL aspects; INDIA-United States relations,,"The article focuses on the aspects of the growing strategic influence of China in South Asian subcontinents considering the dynamics of competition, power balance, and national security. Topics discussed include the relationship between broadening competition and conflict, the aspects of the Sino-Indian conflict, a war between China and India in 1962 which resulted to the origin of distrust in the mutual relations between the country, and the trends of the relations of India in the neighboring countries and the implication of the expanding Chinese influence. Also mentions the India's strategies which include hardening its position to confront China, positioning closer to the U.S., and an embarked on Look-East policy."
"East German pragmatism, China's policy of differentiation, and Soviet miscalculation: Hermann Matern's 1961 trip to China revisited.","Chen, Tao",Cold War History,19-Feb,Taylor & Francis Ltd,"INTERNATIONAL economic relations; INTERNATIONAL economic assistance; DIPLOMACY; KOMMUNISTICHESKAIA partiia Sovetskogo Soiuza; EASTERN Europe -- Foreign relations -- Soviet Union; CHINA -- Foreign relations -- Soviet Union; CHINA -- Foreign relations -- 1949-1976; GERMANY (East) -- Politics & government; GERMANY (East) -- Economic conditions; MATERN, Hermann",China; East Germany; economic relations; Hermann Matern; Soviet Union,"This paper shows that Hermann Matern's 1961 visit to China was mainly a trade mission whose connection with political affairs was minor and who had only an indirect influence on the Berlin Crisis. It further demonstrates that there was no Sino-East German rapprochement during Matern's visit, but quite the contrary –relations between the two countries actually deteriorated, resulting in the East German delegation failing to achieve their goals. Yet, Soviet miscalculation and misunderstanding of China's policy led them to substantially increase their economic assistance to East Germany, so as to 'win their German comrades back' to the Soviet side. [ABSTRACT FROM AUTHOR] Copyright of Cold War History is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Economic and foreign policy issues facing New Zealand: some reflections.,"McGhie, Gerald",New Zealand International Review,Sep/Oct2012,New Zealand Institute of International Affairs,ECONOMIC policy; INTERNATIONAL relations; NEW Zealand; EUROPE; UNITED States; 2009-2017,,"The author reflects on the economic and foreign policy strategy for New Zealand. It cites ""The Major Economic and Foreign Policy Issues Facing New Zealand: 2012-2017"" report published in the June 2012 issue of the journal. He argues that New Zealand will have to adapt as neoliberal economics of the U.S. and Europe are challenged, citing the rise of China. He asserts that the government must consider concerns of the whole population in policies in order for them to accept making sacrifices."
Economic Cooperation in the Asia-Pacific and the Global Trading System.,"Armstrong, Shiro",Asia & the Pacific Policy Studies,14-Sep,Wiley-Blackwell,INTERNATIONAL economic relations; INTERNATIONAL economic integration; INTERNATIONAL trade dispute resolution; TRADE regulation; CHINA; JAPAN,economic cooperation; international governance; international trade; multilateralism; WTO,"The global trading system has underpinned huge growth in trade and the integration of economies that have signed on to it, whether they are political allies or not-none more so than in the Asia-Pacific region. It has prevented political disputes between Japan and China adversely affecting trade and investment flows between the two countries. The World Trade Organisation continues to play an important role. This is evidenced by the number of countries still willing to join the organisation, its record in keeping markets open during crises and the effectiveness of the dispute settlement mechanism. Yet the global trading system faces challenges. The rules and agenda, as well as the single undertaking mode of negotiations, are not effective or relevant to commerce in the twenty-first century. The shift to mega-regional agreements further undermines its primacy. A weakened global trading system could also have negative spillovers for political relations between countries. [ABSTRACT FROM AUTHOR] Copyright of Asia & the Pacific Policy Studies is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Economic Openness and Great Power Competition: Lessons for China and the United States.,"Professor, David A Lake",Chinese Journal of International Politics,Autumn2018,Oxford University Press / USA,BALANCE of power; INTERNATIONAL economic relations; ECONOMIC competition; GREAT powers (International relations); FOREIGN relations of the United States,,"The United States–China relationship is more likely than not to slide into economic and military competition, despite the perhaps best intentions of both states. This new bipolar competition is not inevitable. The key question is whether both governments have the self-restraint to limit domestic rent-seeking interests who will undoubtedly demand protection at home and exclusivity in their spheres of influence abroad. If not, the new superpowers will, like great powers in the past, ‘race’ for economic privileges that can quickly divide the world up into exclusive blocs. Like the security dilemma, great powers need not actually exclude one another from their economic zones; the fear of exclusion alone is enough to ignite the process of division. There was always some likelihood of a competitive economic spiral given China’s close business–government relations in a ‘state-capitalist’ economy. Now, for the first time in seven decades, there is a chance that the United States, in the grips of economic nationalism, might abandon its historic policy of free trade and ignite a new race for economic privilege as well. [ABSTRACT FROM AUTHOR] Copyright of Chinese Journal of International Politics is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Economic–Security Nexus in the AIIB: China's Quest for Security through Eurasian Connectivity.,"Andornino, Giovanni B.",Global Policy,19-Nov,Wiley-Blackwell,INTERNATIONAL security; SOVEREIGNTY; NATIONAL security; INTERNATIONAL relations; CHINA; BEIJING (China); INVESTMENT banking,,"The Asian Infrastructure Investment Bank (AIIB) is mainly considered as a commercial connectivity and sustainability‐oriented infrastructure development bank, but there are also international security dimensions to the Bank. China's geostrategic and security motivations are said to be behind its spearheading of the AIIB. This essay highlights that China's national and international security calculations have evolved in the period after the Bank's opening. In the initial phase of the AIIB's formation, 2013–2017, the Bank's creation was part of Beijing's pursuit of a more outwardly ambitious and bold national/international security agenda of new institution‐building, looking to reshape the system of global governance. But since 2017, China's leadership has responded to sustained international pushback against its ambitious agenda, especially but not exclusively from the United States, and it has refocused its national security priorities onto protecting national economic growth, national sovereignty and regime preservation. Beijing has supported moves to put some distance between the AIIB and the Belt and Road Initiative (BRI), and Chinese strategists have shifted to seeing the AIIB as helpful for mitigating an economic downturn across Eurasia, and preserving China's continuing growth and regime survival in what they perceive as a period of external threat. Future research on China's conduct inside existing multilateral bodies, and its formation of the AIIB as a new multilateral organization, should assess Beijing's behavior through the theoretical framework of ontological security calculations as well as material power. [ABSTRACT FROM AUTHOR] Copyright of Global Policy is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Editor's Comments.,"Kim, Suk",North Korean Review,Spring2011,"McFarland & Company, Inc.",INTERNATIONAL economic relations; NORTH Korea; CHINA; SOUTH Korea,,"The article discusses various reports published within the issue including an analysis of the increasing North Korean dependence on China by Hyung-min Joo, a review of China's claims that the North Koreans who illegally cross into China are not refugees but are economic migrants by Russell Aldrich and an argument by Dong-ho Han that policy-makers of the South Korean government should seriously consider a possible North Korean collapse scenario."
Editor's Foreword.,,Military Balance,13-Feb,Taylor & Francis Ltd,"POLITICS & war; INTERNATIONAL relations; MILITARY spending; WORLD politics -- 2005-2015; INTERNATIONAL security; NATIONAL security; MILITARY science -- International cooperation; DISENGAGEMENT (Military science); ARAB-Israeli conflict, 1993-; SYRIA; UNITED States; CHINA; NORTH Atlantic Treaty Organization; AFGHAN War, 2001-",,"The article presents an overview of events in world politics in 2012 related to armed forces, war and military policy. The ongoing civil war in Syria following its 2011 revolution is examined. A conflict between Israel and the Hamas movement in the Gaza Strip is discussed. Changes in U.S. military policy including its planned withdrawal of forces from the Afghan War, reductions in military spending and a focus on international security in the Asia-Pacific region are considered. Increases in military spending in Asia, particularly by China are compared to reductions in spending in countries of the North Atlantic Treaty Organization (NATO)."
Editor's Note.,"Rahman, Khalid",Policy Perspectives,2015,Pluto Journals,INTERNATIONAL relations; NATIONAL security; AFGHANISTAN; IRAN-United States relations,,"An introduction is presented in which the editor discusses various reports within the issue on topics including the complex state of interdependence policy between U.S. and China, the U.S.-Iran relations and the challenges of security, political and socioeconomics of Afghanistan."
Editor's Note.,,Journal of Cold War Studies,Summer2018,MIT Press,"COLD War, 1945-1991; INTERNATIONAL relations; VIETNAM War, 1961-1975",,"An introduction to the journal is presented in which the editor discusses the articles published within the issue on such topics as the Vietnam War, the Soviet policy towards Vietnam during the Cold War, and the Chinese government's link with African American civil rights activists in the U.S."
Editor's Note.,"Rahman, Khalid",Policy Perspectives,2015,Pluto Journals,NATIONAL security; INTERNATIONAL economic relations; PAKISTAN; CHINA -- Politics & government; TWENTY-first century,,"An introduction is presented in which the editor discusses various reports within the issue on topics including the role of China in international trade, security and stability issues in Pakistan and multilateral trade negotiations"
education as a source and tool of soft power in international relations.,"wojciuk, anna; michałek, maciej; stormowska, marta",European Political Science,15-Sep,Palgrave Macmillan Ltd.,INTERNATIONAL relations; SOFT power (Social sciences); EDUCATION policy; FINLAND; EDUCATIONAL quality; HIGHER education; HIGHER education -- China; EDUCATION & globalization,,"As the term 'soft power' in international relations (IR) has been coined by Joseph Nye a quarter of a century ago it has gained a great response and initiated numerous debates. A high quality education sector is one of the important factors that contributes to a country's soft power. Despite that, as shown in the article, education has not been adequately covered in the existing IR literature. The article addresses this lacuna by offering an attempt to conceptualise and operationalise the educational aspect of soft power. First, with cases from the People's Republic of China and Finland, it provides various examples of growing internationalisation of education, and analyses possible soft power gains from education. Second, the article provides a theoretical conceptualization of educational soft power, and presents three mechanisms that it can work through: as a carrier of genuine values, as a resource that countries possess, and as a tool in achieving certain goals. All three mechanisms also show how increasing internationalisation brings more direct connections between education, international relations, and foreign policy. [ABSTRACT FROM AUTHOR] Copyright of European Political Science is the property of Palgrave Macmillan Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Ego Gratification.,"Schindler, Sol",American Diplomacy,4/17/2013,American Diplomacy,"INTERNATIONAL economic relations; INTERNATIONAL conflict; MILITARY relations; CHINA-United States relations; KOREA (South)-United States relations; NORTH Korea-United States relations; ECONOMIC conditions in China, 2000-; ECONOMIC conditions in the United States, 2009-2017; UNITED States -- Politics & government -- 2009-2017; KOREA (South); UNITED States",,The article presents the author's views regarding the foreign relations of the U.S. with China and South Korea and its conflict with North Korea. It explores the importance of the economic condition in the U.S. on the growth of China. It also examines the reason of North Korea's behavior against the U.S. and the need for the American government to reconsider its military position in South Korea.
Emerging powers in Africa: Is Brazil any different?,"White, Lyal",South African Journal of International Affairs,13-Apr,Taylor & Francis Ltd,EMERGING markets; ECONOMIC development; INTERNATIONAL relations; CAPITALISTS & financiers; POLITICAL economic analysis; STRATEGIC planning; CONTRACTS; AFRICA; BRAZIL,Africa; Brazil; development; emerging powers,"Africa's economic rise and growing prosperity over the past decade has attracted the attention of investors, development agencies and governments from across the globe. Brazil has joined this charge of established and emerging powers in Africa. Recent activities across the continent and the development of certain bilateral agreements suggest an alternative approach from other emerging powers in Africa, underpinned by development cooperation between Brazilian and African partners in key sectors. The ‘Brazilian way’, building on its positive image in Africa – primarily through development cooperation – while accumulating core commercial and strategic assets, appears to be aiming at sustainable engagement with long-term objectives. The explicit role of business in Brazil's development agenda in Africa sets it apart from traditional European and US counterparts, which have typically relied on donor-led aid and development. However, criticism has also crept in around Brazil's general reluctance to use its influence and commercial leverage to push for greater democratic freedoms in some of the African countries where it operates. While Brazil's commercial interests on the African continent are slightly different from commodity-starved players like India and China, which are explicitly reliant on extractive motives linked to price and efficiency, the question remains, ‘Is Brazil's interest and engagement with Africa any different from the rest?’ [ABSTRACT FROM AUTHOR] Copyright of South African Journal of International Affairs is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Emerging Southern powers and new forms of South–South cooperation: Ethiopia’s strategic engagement with China and India.,"Cheru, Fantu",Third World Quarterly,16-Apr,Taylor & Francis Ltd,ECONOMIC development; GLOBALIZATION; INTERNATIONAL cooperation; FOREIGN investments; INTERNATIONAL relations; BRICS countries; ETHIOPIA; ETHIOPIA -- Foreign relations; ETHIOPIA -- Politics & government -- 1991-,BRICS; China; global South; globalisation; India; investment flows,"This article critically examines Ethiopia’s engagement with China and India. Despite being a non-oil exporting country, Ethiopia has become one of the fastest growing economies in Africa and, over the past decade, millions of people have been lifted out of poverty. Part of Ethiopia’s success has been the ability of the developmental state to harness its relationship with the new as well as the traditional development partners strategically, to unleash the country’s productive potential while maintaining national policy space. Ethiopia’s pragmatic ‘economic diplomacy’ arose from the desire of the liberation movements that formed the umbrella Ethiopian People’s Revolutionary Democratic Front (EPRDF) to fundamentally transform all aspects of Ethiopian society and to break out of poverty, which the EPRDF considers a ‘national shame’ and a handicap to the country’s ability to define foreign and development policies independently. The Ethiopian experience challenges the school of thought that equates the rise of emerging powers in Africa with a new form of ‘colonialism’, disregarding African agency to transform these relationship into ‘win-win’ partnerships. [ABSTRACT FROM PUBLISHER] Copyright of Third World Quarterly is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Empires and the Modern International System.,"Zielonka, Jan",Geopolitics,2012,Taylor & Francis Ltd,IMPERIALISM; POLITICAL doctrines; INTERNATIONAL relations; NATIONAL security; HEGEMONY; EUROPEAN Union,,"In recent years several important books have argued that the United States of America, China, Russia and even the European Union “look, talk and walk” like empires. However, these books have failed to impress those working in the field of international relations. For some, the Westphalian state is still the major unit of analysis. Others prefer to use the terms “great powers” or “hegemony.” This research note will, first, try to assess the added value that the concept of empire brings to the study of international relations. The second aim is to establish how best to study contemporary empires. Which actors can be classified as empires? Should one focus on imperial structure, mission or behaviour? The third objective is to seek ways of identifying patterns of cooperation and competition among empires. Can the contemporary manifestations of empire co-exist without major conflict? [ABSTRACT FROM AUTHOR] Copyright of Geopolitics is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Enabling China’s Voice to Be Heard by the World: Ideas and Operations of the Chinese Communist Party’s External Propaganda System.,"Tsai, Wen-Hsuan",Problems of Post-Communism,May-Aug2017,Taylor & Francis Ltd,DIPLOMACY; INTERNATIONAL relations; CHINESE Communist Party; CHINA -- Foreign relations -- 1976-; CHINA -- Politics & government -- 2002-,,"As China becomes a more prominent international player, the Chinese Communist Party (CCP) has stepped up its external propaganda in a bid to promote its image as a superpower. The operations of the CCP’s external propaganda system are no longer guided by dogma; rather, these incorporate many Western theories related to “public diplomacy,” which emphasizes the role played by non-governmental actors and the use of a softer approach. However, the CCP’s understanding of the concept of public diplomacy is influenced by the “people’s diplomacy” of the Cold War period. This means that it continues to base its external propaganda on the idea of a struggle against enemies, attempting to establish an international united front with a view to boosting the CCP’s right of discourse in the international arena and weakening anti-China forces in the West. [ABSTRACT FROM PUBLISHER] Copyright of Problems of Post-Communism is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"Enemy, Homager or Equal Partner?: Evolving Korea-China Relations.",Heungkyu Kim,Journal of International & Area Studies,12-Dec,Seoul National University,INTERNATIONAL cooperation; INTERNATIONAL relations; CRISIS management; KOREA; CHINA; KOREA -- Foreign relations -- 1945-; CHINA -- Foreign relations -- 1976-,Korea-China Relations; North Korea; Strategic Cooperative Partnership; Strategic Thinking; the U.S.-China Relations,"Since the formal establishment of South Korea (hereafter, Korea)-the People's Republic of China (hereafter, China) relations in 1992, the bilateral relationship has recorded tremendous success in terms of trade volume, cooperation on the North Korean nuclear crisis, and the magnitude of exchanges in various areas. However, it is also true that the bilateral relations still remain far from satisfaction in terms of depth and degree of communication, crisis management, and a shared vision. Given Korean's psychological alertness and apprehension formed over a long history of contacts with China, differences in political system, mutual misperceptions, and degree of understanding, these problems cast serious challenges for future relations between the two countries. In the future, Korea- China relations could be sour and bumpy if the Korean government relies excessively on security-oriented approaches, centering on its alliance with the U.S. Korea needs to exercise a ""creative middle power-pragmatic diplomacy"" in dealing with China. The objective is to establish a positive-sum game in the Korea-China strategic cooperative partnership, extending consultation and cooperation beyond security issues on the Korean Peninsula. Both the Korea-U.S. alliance and the Korea-China strategic cooperative partnership should be the foundation of Korea's diplomatic assets, under which Korea would try to persuade North Korea to abandon its nuclear program. The substance of Korea-China relations will be determined by the policies of each government to consolidate the ""cooperative strategic partnership."" Sound communication, political will, and strategic management matter. The future relationship of Korea with China is at the crossroad among the ranges of being enemy, homager, or equal partner. Korea obviously favors the establishment of an equal partnership with China, based upon the common principles of mutual respect, cooperation, and co-prosperity. [ABSTRACT FROM AUTHOR] Copyright of Journal of International & Area Studies is the property of Seoul National University and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
Energy Security in Central Asia in a Multi-Polar World: An Overview.,"Peimani, Hooman",Orient (00305227),2010,Deutsches Orient-Institut,"ENERGY policy; NATIONAL security; POWER resources; INTERNATIONAL relations & culture; INTERNATIONAL relations; EMERGING markets; CENTRAL Asia; ASIA; SOCIAL aspects; CENTRAL Asian politics & government; ECONOMIC conditions in Central Asia, 1991-",,"Energy security in Central Asia is a complicated objective for its five forming states thanks to the interaction of external and internal factors, which are not confined to the regional countries' energy requirements. Central Asia is an important region for various reasons ranging from its geostrategic location as a country in the proximity of rising (China) and re-rising (Russia) superpowers and regional powers (Iran, India and Pakistan) to its significant fossil energy resources. The latter has made the region a player in the energy security of both Asian (mainly, but not exclusively, China) and Western economies. This role has particularly made the latter interested in the regional affairs resulting in the formation of an energy-foreign/defence policies nexus, which has shaped, to a large extent, the policies of the Asian and European economies towards Central Asia. To this, one should add Russia's bid to return to Central Asia for political, security and economic reasons as well as Iran's and Turkey's efforts to penetrate the region as regional powers with various ties to the Central Asian countries. Added to the external factors, the regional countries' history of mistrust and suspicion of each other and rivalry over supremacy has negatively affected their bilateral and multilateral relations since their independence. Against this background, since fossil energy accounts for the bulk of the regional countries' energy requirements, the region's division into energy-haves (Kazakhstan, Turkmenistan and Uzbekistan) and have-nots (Kyrgyzstan and Tajikistan) has complicated the situation by creating a difficult pattern of energy dependency and cooperation affected heavily by political and security considerations. Briefly, the pursuit of energy security by the Central Asian states has been a factor contributing to inter-state tensions on occasions, although meeting the energy security objectives of non-Central Asian countries (China) has ironically contributed to their cooperation. [ABSTRACT FROM AUTHOR] Copyright of Orient (00305227) is the property of Deutsches Orient-Institut and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
