Article Title,Author,Journal Title,Publisher,Subjects,Keywords,text
Thinking the unthinkable.,"White, Hugh",New Zealand International Review,New Zealand Institute of International Affairs,NATIONAL security; STRATEGIC planning; PACIFIC Area; AUSTRALIA; AUSTRALIA-China relations; FOREIGN relations of the United States,,"The article offers information on the fundamental changes in the strategic outlook in the western Pacific due to rise of China. Topics include, undermining assumptions that have underpinned Australian defence thinking on security; Australia relations with the U.S.; and ways way to support the United States modestly in retaining its position in Asia."
"Thirty years from Tiananmen: China, Hong Kong, and the ongoing experiment to preserve liberal values in an authoritarian state.","Professor, Cora Chan Associate",International Journal of Constitutional Law,Oxford University Press / USA,DEMOCRACY; AUTHORITARIANISM; POWER (Social sciences); HONG Kong (China); CHINESE Communist Party,,"The 1989 Tiananmen Square Massacre marked China out as an exception in the chapter of world history that saw the fall of international communism. The massacre crystalized the mistrust between China and Hong Kong into an open ideological conflict—Leninist authoritarianism versus liberal democracy—that has colored relations between the two since then. This article tracks the hold that authoritarianism has gained over liberal values in Hong Kong in the past thirty years and reflects on what needs to be done in the next thirty years for the balance to be re-tilted and sustained beyond 2047, when China's fifty-year commitment to preserving Hong Kong's autonomy expires. Still surviving (just) as a largely liberal (though by no means fully democratic) jurisdiction after two decades of Chinese rule, Hong Kong is a testing ground for whether China can respect liberal values, how resilient such values are to the alternative authoritarian vision offered by an economic superpower, and the potential for establishing a liberal-democratic pocket within an authoritarian state. The territory's everyday wrestle with Chinese pressures speaks to the liberal struggles against authoritarian challenges (in their various guises) that continue to plague the world thirty years after the end of the Cold War.​"
Three turns in the evolution of China–Russia presidential pseudo‐alliance.,"Baev, Pavel K.",Asia & the Pacific Policy Studies,Wiley-Blackwell,ALLIANCES (International relations); NATIONAL security; CHINA-Russia relations,China; crisis; partnership; Russia; security,"The unique quality of relations between Russia and China cannot be captured by the term ""partnership,"" but the development of high‐level ties does not signify a process of alliance building. The two states stand, in geopolitical terms, back‐to‐back to each other, as Russia gives priority attention to the confrontation on its Western theatre and China focuses of security matters in East Asia and trade relations with the United States. The China–Russia presidential pseudo‐alliance has experienced at least three major turns in its development since the middle of this decade. Presently, it has transformed into a one‐sided Russian dependency upon indifferent China and is certain to experience further challenges, as the two parties proceed along clearly diverging courses."
Three tyrannies of participatory governance.,"Richardson, Liz; Durose, Catherine; Perry, Beth",Journal of Chinese Governance,Taylor & Francis Ltd,POLITICAL participation; DECISION making; INTERNATIONAL relations; CORPORATE governance; AUTHENTICITY (Philosophy),authenticity; bottom-up; governance; leadership; Participation; representation,"Despite the potential promise of more participatory urban governance, some debates do not sufficiently reflect difficult realities. This paper aims to make good on this by maintaining reflexivity about tensions. Drawing on traditions of pragmatism, the paper identifies tyrannies besetting understandings of participatory governance. Tyrannies are ways of thinking that developed in response to an identified issue, but which fail to live up to their initial promise. Despite this, those particular ways of thinking continue to hold sway. The paper sets three key tyrannies: the quest for authenticity in non-elected representation; assumptions about leadership models; and 'bottom-up' versus 'top-down' debates. First, despite widespread acknowledgement of the value of lived experience in participatory governance, in the quest for authenticity, it is simultaneously reified yet denied. Second, we question assumed symbiotic alignments between participatory governance and ideas of distributed leadership. Third, we present a critique of the fetishisation of 'bottom-up' approaches in participatory governance. It concludes with the role of reflexivity in re-negotiating the politics of participatory governance."
Three-ness: Healing world politics with epistemic compassion.,"Ling, L. H. M.",Politics,Sage Publications Inc.,WORLD politics; BUDDHISTS; ECONOMICS; EUROPE; THEORY of knowledge,daoism; epistemic compassion; interbeing; local agency and responsibility; Silk Roads; trialectics; ying-yang theory,"Epistemic compassion can help to heal world politics. It mitigates almost six centuries of Eurocentric 'epistemic violence' and 'epistemicide' with a trialectical epistemology that bridges even seemingly irreconcilable opposites. Buddhists call this process Interbeing. I draw on Daoist yin/yang dynamics for epistemology and the ancient Silk Roads as an exemplar. Subsequently, I apply this analysis to a watershed development in our contemporary political economy: China's 'Belt and Road Initiative' (BRI). A $1 trillion investment scheme to link China with Europe and Russia through Central Asia, Africa, and the Indian Ocean, the BRI provokes charges of reproducing Europe's 19th-century's Great Game on a 21st-century scale. A trialectical epistemology offers another mode and model of global interaction for the BRI. It highlights the possibility of local agency and global responsibility for the BRI. I ask: Can epistemic compassion turn this 5.0 version of Asian Capitalism into a 2.0 version of the Silk Road Ethos? The potential exists, I argue."
Tianshui's three treasures: water and soil conservation in wartime northwest China.,"MUSCOLINO, Micah S.",Journal of Modern Chinese History,Taylor & Francis Ltd,,Agriculture; conservation; environment; erosion; Gansu; Tianshui,"In addition to examining how wartime imperatives shaped the agricultural research, demonstration, and extension programs undertaken by the Nationalist government's Tianshui Water and Soil Conservation Experiment Area (the Experiment Area) after its founding in 1942, this article assesses the rural populace's responses to these conservation measures. While the Experiment Area's plans to construct terraces and ditches were not well suited to the socioeconomic and environmental conditions that existed in rural Gansu during the 1940s, its introduction of non-native tree and grass species to check water and soil loss met with an enthusiastic response from Tianshui's populace. Water and soil conservation specialists aspired to rationalize human interactions with the environment as part of wartime efforts to develop the northwest, but to realize these goals they had to take socioecological realities in the region and the needs of rural residents into account. Wartime conservation's environmental legacies, the article also shows, extended into the period after 1949."
"TIBETAN STRATEGIES AND CHINESE COUNTER-STRATEGIES, 1986-2012.","Dorjee, Tenzin",Asian American Policy Review,Harvard University,COMMUNITIES; PRESSURE groups; SOCIAL movements; DHARMSALA (India); TIBETANS,,"This paper traces the evolution of the strategies used by the Tibetan leadership to promote the Tibetan cause and the counter-strategies used by the Chinese government to suppress the Tibet issue. It focuses on the period between 1986 and 2012, during which Dharamsala sought to internationalize the Tibet issue by mobilizing parliaments and the public in the West. An important role was played by the Tibetan American communities, who joined the Western advocacy groups in building a powerful grassroots movement whose impact reached all the way to Beijing."
To Double Down or Decouple? North Korea and China as Challenges to the U.S.‐South Korea Alliance.,"Kim, Jangho; Ohn, Daewon; Park, Jae Jeok; Richey, Mason",Asian Politics & Policy,Wiley-Blackwell,NUCLEAR weapons; DIPLOMACY; SOUTH Korea; NORTH Korea; KOREANS; COLUMNS,China; North Korea; San Francisco System; U.S.‐South Korea Alliance; Alianza Estados Unidos‐Corea del Sur; Corea del Norte; Sistema de San Francisco; 中国; 旧金山体制; 朝鲜; 美国-韩国联盟,"This article argues that both North Korea's nuclear weapons and Chinese attempts at wedge‐driving between South Korea and the United States represent threats to degrade and perhaps decouple the U.S.‐South Korea alliance. These will intensify regardless of the outcome of current diplomacy on the Korean Peninsula. This puts at risk a component of the San Francisco System that has served as a pillar for Northeast Asian regional security for almost seven decades. We assess what the potential problems will be for the U.S.‐South Korea alliance as they emanate from these two policy challenges, and what actions policymakers in both Washington and Seoul can prioritize in order to modify or neutralize them."
"To Join or Not to Join? State Ownership, Commercial Interests, and China’s Belt and Road Initiative.",Xiaojun Li; Ka Zeng,Pacific Affairs,Pacific Affairs,GOVERNMENT ownership; INTERNATIONAL economic assistance; GOVERNMENT business enterprises; STATE supervision over local government; CHINA,Belt and Road Initiative; China; economic statecraft; foreign investment; state-owned enterprises; trade,"The Belt and Road Initiative (BRI) is often regarded as a vehicle of China’s economic statecraft in that country’s endeavour to expand its geopolitical influence overseas through investments and trade. In today’s globalized world, however, the vast majority of international economic interactions are conducted by firms, not states. The success of the BRI therefore depends on whether and how China can compel its firms to behave in a way that serves the strategic interests of the state. Using a unique firm-level survey, we find that Chinese firms’ interests in the BRI do not necessarily align with those of the state. Despite similar perceived risks and challenges to participation in the BRI among private and state-owned firms in China, state-owned enterprises are much more likely than private ones to express a willingness to participate in the BRI. These findings highlight the importance of state control in the exercise of economic statecraft."
Today's Wired China Is Both Repressive And Responsive To Its Citizens.,,NPQ: New Perspectives Quarterly,Wiley-Blackwell,GOVERNMENT policy on the Internet; INTERNET censorship; TECHNOLOGY & state; LEGITIMACY of governments; INTERNET & politics; LIBERALISM; DEMOCRACY; CHINA,,The article focuses on the paradoxical nature of China's Internet policy which is both repressive and responsive to its citizens. Topics covered include the use of technology by the Chinese government to maintain the legitimacy of its rule and the importance of such a paradox in understanding the reason behind the resiliency of China's political system despite the fact that it is not a liberal democracy.
Tourism as a Stealth Weapon.,"Chaziza, Mordechai",Middle East Quarterly,Middle East Forum,TOURISM -- Political impact; TOURISM economics; TOURISM; CHINA -- Foreign relations -- Middle East; TURKEY -- Description & travel; ISRAEL -- Description & travel,,"The article explores Chinese tourism, it's rise and how the Chinese government has begun to use its ability to control its flow of tourists to pressure foreign capitals. The growth of Chinese international tourism started in the early 1990s as the country's economy boomed and the government opened up economically and socially to the rest of the world. Other topics discussed include the economics of Chinese tourism, how the Chinese view the Middle East as a place for investment opportunities, international conferences and exhibitions, and luxury getaways, and Chinese tourism in countries including Israel and Turkey."
Toward gender sensitivity: women and climate change policies in China.,"Zhou, Yuan; Sun, Xiaoyan",International Feminist Journal of Politics,Taylor & Francis Ltd,,China; climate change; environment; Gender; gender sensitivity,"Climate change and environmental protection have become increasingly important in China. The country has formulated and strictly enforced a series of policies to address climate change directly. This article argues for the importance of studying China's climate change policies from a gender perspective, particularly given the speed and import of action. It does so in three steps. First, it examines gendered differences in perceptions of climate change and in the impacts of climate change policies. Second, it examines the environment-related content in China's gender policies and the gender-related content in its climate change policies. Through the comparison between these two, we argue that it is easier to include climate change in gender policies in China than to include gender in climate change policies and that the integration of these two is anything but robust. Third, we analyze the multiple and varied roles played by women in climate change policy making, as well as women's conspicuous absence from some key high-level political conversations. The article concludes that gender awareness in Chinese climate change policy needs to be supplemented by gender sensitivity and we suggest some measures to move toward this goal."
Towards a free trade agreement between the United Kingdom and China in the post-Brexit age.,"Kong, Qingjiang",Journal of Contemporary European Studies,Taylor & Francis Ltd,"COLLECTIVE labor agreements; BREXIT Referendum, 2016; INTERNATIONAL economic relations; CHINA; GLOBAL Financial Crisis, 2008-2009",Brexit; Free trade agreement; UK–China economic and trade relations,"The challenge，which is posed by the Brexit against the legal framework for the economic and trade relations between the UK and its non-EU member trade partners, has not been sufficiently explored. China has been among the leading trade partners of the UK. Economic relations between the UK and China have skyrocketed over the past 10 years. China has also become the economic powerhouse that the rest of the world is turning to in the aftermath of the global economic crisis. While the UK is indifferent to the China's apathy for a united Europe, it certainly cannot ignore its trade with China at a risk associated with the challenge posted by the Brexit against the legal framework for the economic and trade relations between the UK and China. This paper argues for a free trade agreement between China and the UK (China–UK FTA) to make up for the pitfalls associated with the Brexit."
Towards a morally defensible concept of toleration: Insights from ancient Chinese thinking.,"Wang, Pei; Ferrara, Alessandro; Kaul, Volker; Rasmussen, David",Philosophy & Social Criticism,"Sage Publications, Ltd.",CULTURAL pluralism; TOLERATION; ETYMOLOGY; LANGUAGE & languages; EMOTIONS (Psychology),emotion; inclusiveness; the dao of zhong and shu (忠恕之道); tolerance,"The diversification of the world has given us the opportunity to live with different people. This kind of diversification brings not only adventure and excitements but also interaction with people and their habits that we do not agree with. In response, toleration has become the common sense of people in modern society. However, what is the meaning of the word toleration? What moral emotions underlie the practice of toleration? This article puts forward a morally defensible concept of toleration inspired by ancient Chinese thinking. I first discuss the etymology of the word toleration from Anglophone and Chinese perspectives, and then analyse three problematical emotional attitudes towards others (disgust, indifference and hunting for novelty) and critique the spirit of exclusion in the dominant Anglophone understanding of toleration. Finally, I analyse a morally defensible concept of toleration based on the 'the dao of zhong and shu ' (忠恕之道) that also served as the ideal underpinning political unity and appreciation for cultural diversity in ancient China."
"Towards Contested 'Spheres of Influence' in the Western Pacific: Rising China, Classical Geopolitics, and Asia-Pacific Stability.","Schreer, Benjamin",Geopolitics,Taylor & Francis Ltd,"GEOPOLITICS; EAST Asia; CHINA-United States relations; SPYKMAN, Nicholas; MACKINDER, Halford John, Sir, 1861-1947",,"The evolution of US-Sino great power competition in East Asia has emerged as a key geostrategic issue in international politics. A central question is whether the 'geography of the peace' will prevail where, despite their natural predisposition to compete for regional hegemony, the two great powers respect each other's 'spheres of influence'. This concept assumes that, as a major continental power, China remains preoccupied with securing its land borders and expanding its influence on the Eurasian land mass. In contrast, this article argues that the Sino-US rivalry likely leads to the emergence of a 'geography of conflict' in East Asia because of overlapping zones of strategic interests. Applying a classical geopolitics approach, it shows that the geopolitical models of British geographer Sir Halford Mackinder, US naval strategist Alfred Thayer and Dutch-American geostrategist Nicholas Spykman are useful to explain the current behaviour of China and the United States, and why, as a result, East Asia is becoming more contested."
Towards Economic Decoupling? Mapping Chinese Discourse on the China–US Trade War.,"Wei, Li",Chinese Journal of International Politics,Oxford University Press / USA,"INTERNATIONAL trade disputes; ECONOMICS; INTERNATIONAL economic relations; CONFLICT theory; CHINA; TELECOMMUNICATION equipment & supplies; TRUMP, Donald, 1946-",,"Tremendous changes have occurred in China–US relations since Donald J. Trump took office in the White House, but the most significant event is the outbreak of the China–US trade war, whose unprecedented scale and impact has drawn wide attention in China and sparked considerable debate. This article aims to review the four main stages of this great debate on the China–US trade war among China's influential intellectuals and prominent thinkers. It covers the three-year period since beginning of the Trump administration. The initial argument among Chinese academics was whether or not there could ever be a trade war, which led to a dividing line between optimists and pessimists. Soon after, when China-US relations took a sharp downturn and a trade war seemed inevitable, Chinese scholars shifted their focus to reasons why the United States should wage a trade war against China. This culminated in three different perspectives embodied respectively in the structural conflict theory, institutional conflict theory, and the theory on exporting domestic problems. After China and the United States began slapping additional tariffs on one another's exported goods, and with the flare-up of the Zhongxing Telecommunication Equipment Corporation (ZTE) and Huawei incidents, the debate on how to respond to a trade war cleaved between the 'whole nation system school' and the 'market reform school'. As to coping with the technology war, Chinese intellectuals were divided between the paths of 'independent innovation' and 'open innovation'. More recently, in view of the many signs that the China–US trade war could continue indefinitely, and an economic decoupling of the two nations is no longer unimaginable, a fierce debate has arisen between those that advocate full preparations for such economic decoupling and those who insist on further links with the US economy. Although the main themes of the four stages of the debate differ somewhat, they share a certain degree of consistency as regards the conceptual pedigree of the debating parties. Their divergence derives, in essence, from different perspectives on such issues as state power versus market force, independence versus interdependence, and zero-sum competition of power versus win-win economic cooperation. This also exemplifies the competing views in Chinese academia on classical political economy."
Towards naval normalcy: 'open seas protection' and Sino-US maritime relations.,"Wu, Zhengyu",Pacific Review,Taylor & Francis Ltd,MARINE pollution; NAVAL strategy; CHINA; UNITED States; WATER,China's navy; Offshore waters; open seas; sea power; Sino-US relations,"On May 26th, 2015, China published its 10th Defense White Paper which integrated 'open seas protection', along with 'offshore waters defense', into its naval strategy. This shift in naval strategy, albeit largely anticipated, raises a series of important questions about China's maritime ambitions. This article seeks to analyze the causes, nature and challenges of China's latest shift in naval strategy, and its implications for Sino-US maritime relations. The article argues that China's latest shift in naval strategy is a logical corollary of the tension between China's expanding global interests and its asymmetric approach to sea power, and the Belt and Road Initiative (BRI) provides the necessary stimulus and justification for such a shift. China's new naval strategy, the paper contends, denotes that it will develop a Mahanian blue-water navy and a basic network of overseas bases in the years ahead. Those two developments are expected to pose a series of significant challenges for China's foreign policy. The article argues that China's new naval strategy presents both challenges and opportunities for China and the world. To accomplish 'open seas protection', China will probably have to modify its policies on a range of issues, and moderate its competitive stance in the near seas. Although China's new naval strategy need not be interpreted in a competitive framework, it does present China with a stark choice: either it pursues more friendly attitudes towards its maritime ambitions by modifying its current policy, or it will be increasingly confronted by a coalition of hostile states."
Toxic Democracy? The Philippines in 2018.,"Curato, Nicole",Southeast Asian Affairs,ISEAS- Yusof Ishak Institute,SOCIAL surveys; INTERNALLY displaced persons; POOR people; DEMOCRACY; PHILIPPINES; BUSINESSPEOPLE,,"Deals with China that place the Philippines' sovereignty at risk, the regime has Duterte threatened the media, the Philippines had witnessed some of the highest Duterte's term, Sereno reminded Duterte that only the judiciary had the right to Marawi is a defining issue for the Duterte regime. That the Philippines will be a high-middle-income country by the end of Duterte's."
Tracing the Legacy: China's Historical Aid and Contemporary Investment in Africa.,"Morgan, Pippa; Zheng, Yu",International Studies Quarterly,Oxford University Press / USA,FOREIGN investments; SOCIOHISTORICAL analysis; SOCIAL capital; BUSINESS enterprises; AFRICA -- Foreign economic relations; CHINA -- Foreign economic relations,,"In this article we depart from the classic model of foreign direct investment (FDI) determinants and examine the effect of sociohistorical factors on FDI. We argue that past foreign aid projects confer social capital that constitutes specific resources available to investors in the present, increasing their preferences for host countries in which their home country has accumulated more social capital. We use new data on China's historical aid in Africa to test these contentions, uncovering a positive, significant connection between China's historical aid program in Africa (1956–1999) and contemporary (2000–2015) investments by Chinese companies. While China's historical aid may have been politically driven, it has had important long-term consequences for its commercial investors. More broadly, these findings suggest a sociohistorical explanation of the puzzle of why Chinese foreign investments deviate from conventional FDI patterns."
Trade liberalisation and labour shares in China.,"Kamal, Fariha; Lovely, Mary E.; Mitra, Devashish",World Economy,Wiley-Blackwell,COMMERCE; TARIFF; ESTIMATES; CHINA; WORLD Trade Organization; LABOR; BUSINESS enterprises,China; labour shares; trade liberalisation,"We estimate the extent to which firms responded to tariff reductions associated with China's WTO entry by altering labour's share of value. Firm‐level regressions indicate that firms in industries subject to tariff cuts raised labour's share relative to economy‐wide trends, both through input choices and rent sharing. Our estimates suggest that, on average, an industry that experienced no reductions in output or input tariffs would have a 15.7% lower labour share of value in 2007 than it actually did, assuming the same economy‐wide trends. There is significant variation across firms: the impact attenuates with geographic remoteness and union presence and strengthens with foreign ownership."
Trade of China and India with Africa after the 2008 Financial Crisis.,"NOWAK, WIOLETTA",Insight Turkey,Insight Turkey,INTERNATIONAL trade; INTERNATIONAL economic relations; ECONOMIC development; ECONOMIC policy; DEVELOPING countries,,"The paper analyses the trade competition between China and India in Africa over the period from 2008 to 2017. After the 2008 financial crisis, China increased its advantage over India in exports of goods to rich African countries and in imports of goods from resource-abundant Africa's least developed countries. China-Africa and India-Africa trade relations are win-win relations. However, African countries are becoming more and more dependent on the condition of the Chinese economy. Compared to Chinese exports, Indian ones destroy fewer African markets."
Trafficking of Myanmar women for forced marriage in China.,"Qiu, Geping; Zhang, Sheldon X.; Liu, Weidi","Crime, Law & Social Change",Springer Nature,ORGANIZATIONAL structure; JUSTICE administration; BURMA; CHINA; FORCED marriage; JOB vacancies; JOB offers,,"Trafficking of foreign women into China for forced marriage, once unheard of in China, has ceased to surprise the general public with frequent news stories about women from Vietnam, Myanmar, and North Korea being deceived and sold as brides into the interior of China. Using data extracted from official sources in the Chinese judicial system, we analyzed a total of 73 court cases involving 184 Myanmar women who were trafficked into China, spanning a period of 13 years (2003 through 2016). We found people of diverse backgrounds participated in the trafficking business, most were of low education and unemployed or underemployed. Little formal organizational structures appeared to be needed in these trafficking activities. The vast majority of traffickers were Chinese nationals, who seemed well-connected with the cross-border trade as well as traditional matchmaking business. Most trafficking occurred under the guise of employment opportunities, in which Myanmar women were offered jobs in interior China. The majority of victims appeared to have been recruited from inside Myanmar, and wound up being trafficked to three Chinese provinces (Henan, Anhui, and Shandong). Policy implications as well as Data limitations are also discussed."
Transfer-Based Decentralization and Poverty Alleviation: Evidence from a Quasi-Experiment in China.,"Su, Fubing; Li, Ming; Tao, Ran",Publius: The Journal of Federalism,Oxford University Press / USA,POVERTY reduction; FEDERAL government; COUNTY government; DECENTRALIZATION in management; REGRESSION discontinuity design,,"China launched a massive poverty alleviation program in the 1990s that focused on nationally designated poverty counties. By injecting earmarked transfers with clear spending mandates, the central government hoped for major investments in productive capacities in the poverty counties so they could develop sustainably. Comparing fiscal data of county governments through a regression discontinuity approach, we show that the opposite was true. Poverty county officials failed to make extra investments in production-oriented areas while diversion of central transfers for administrative consumption was rampant. This article develops a better empirical strategy to challenge some earlier findings. Theoretically, this article offers a different case of elite capture under a non-democratic regime. Our focus on poverty regions also reveals the importance of maintaining bureaucratic support in local politics. It complements the popular notion that Chinese local officials are mostly geared toward growth."
Transformation of the Role of the Shanghai Cooperation Organization in Central Eurasia and South Asia.,"Efremenko, Dmitry V.",Pakistan Horizon,Pakistan Institute of International Affairs,PEACEFUL settlement of international disputes; EURASIA; SHANGHAI Cooperation Organisation; CHINA-Russia relations; RUSSIA -- Foreign relations,Afghan settlement; Central Asia; China; Greater Eurasia; Indo-Pakistani relations; Russia; Shanghai Cooperation Organization; United States,"This article examines the new tasks facing the Shanghai Cooperation Organization (SCO) after India and Pakistan joined it as full-fledged members. Prospects of a peaceful settlement in Afghanistan are analysed. Special attention is paid to relations within the Russia- India-China triangle, whose development becomes a crucial factor of the successful functioning of the SCO."
Transforming Patriarchy: Chinese Families in the Twenty-First Century.,"Judd, Ellen R.",China Journal,University of Chicago Press,"FAMILIES -- China; NONFICTION; TRANSFORMING Patriarchy: Chinese Families in the 21st Century (Book); SANTOS, Goncalo; HARRELL, Stevan",,
"Transpacific Revolutionaries, by Matthew D. Rothwell. How Difficult It Is to Be God, by Carlos I. Degregori. Heavy Radicals, by Aaron J. Leonard and Connor A. Gallagher. The East is Black, by Robeson T. Frazier: Transpacific Revolutionaries: The Chinese Revolution in Latin America, by Matthew D. Rothwell. New York: Routledge, 2013. How Difficult It Is to Be God: Shining Path's Politics of War in Peru, 1980–1999, by Carlos I. Degregori. Madison: University of Wisconsin Press, 2012; Heavy Radicals: The FBI's Secret War on America's Maoists, by Aaron J. Leonard and Connor A. Gallagher. Alresford, UK: Zero Books, 2014; The East is Black: Cold War China in the Black Radical Imagination, by Robeson Taj Frazier. Durham, N.C.: Duke University Press, 2014: How Difficult It Is to Be God: Shining Path's Politics of War in Peru, 1980–1999, by Carlos I. Degregori. Madison: University of Wisconsin Press, 2012.: Heavy Radicals: The FBI's Secret War on America's Maoists, by Aaron J. Leonard and Connor A. Gallagher. Alresford, UK: Zero Books, 2014.: The East is Black: Cold War China in the Black Radical Imagination, by Robeson Taj Frazier. Durham, N.C.: Duke University Press, 2014","Jain, Dhruv",Rethinking Marxism,Taylor & Francis Ltd,"COLD War, 1945-1991; REVOLUTIONARIES; RADICALS; UNIVERSITY presses; IMAGINATION; BLACK history; CHARLES V, Holy Roman Emperor, 1500-1558",America; Black Radicalism; China; Internationalism; Maoism,"This review surveys four books on Maoisms in the Americas. Matthew D. Rothwell's Transpacific Revolutionaries and Carlos I. Degregori's How Difficult It Is to Be God focus on Maoisms in Latin America while Aaron J. Leonard and Connor A. Gallagher's Heavy Radicals and Robeson Taj Frazier's The East is Black study how Maoisms developed in the American white radical Left and among African American radicals. All four books make important contributions to the existing lacunae about political and armed movements across the Americas. Furthermore, they map out the myriad transnational networks developed during the 1960s and 1970s between the Americas and China, showing the ways in which these networks helped construct political imaginaries to address localized political issues. In doing so, all four books complicate our understanding of how Maoisms are adopted, demonstrating that Maoists in the Americas have been active rather than passive agents in Maoism's reception."
Transport Infrastructure and Economic Growth: From Diminishing Returns to International Trade.,"ŠLANDER, SONJA; OGOREVC, MARKO",Lex Localis - Journal of Local Self-Government,Institute for Local Self-Government & Public Procurement Maribor,TRANSPORTATION; ECONOMIC development; INFRASTRUCTURE (Economics); INTERNATIONAL trade; MACROECONOMICS; MICROECONOMICS; PRODUCTION functions (Economic theory); INVESTMENTS,economic growth; production function; transport infrastructure,"The economic effects of transport infrastructure have been at the forefront of economic research and development policies for the last three decades, after the estimates in the early studies uncovered transport investment as one of the main drivers of economic growth. This is still widely accepted, and the aim of this paper is to challenge this view by analyzing 657 estimates from 48 production function studies. Our results confirm a positive yet small average output elasticity of transport network, but further add to the literature by showing that the marginal returns of transport infrastructure have been falling since 1950s, especially in the USA and China, while the output elasticities in Europe have been stable but low throughout the entire period. Furthermore, the paper reviews studies on the effects of new roads on firm-level performance, and concludes, based on the evidence of small marginal returns of transport infrastructure on both macro- and micro-economic level, that a a much more targeted approach to public investment in transport infrastructure is needed, at least in the developed countries."
Traversing the soft/hard power binary: the case of the Sino-Japanese territorial dispute.,"Hagström, Linus; Pan, Chengxin",Review of International Studies,Cambridge University Press,SOFT power (Social sciences); HARD power; BOUNDARY disputes; CHINA-Japan relations; RELATIONISM,Diaoyu/Senkaku Islands; Disciplinary Power; Productive Power; Sino-Japanese Relations; Soft Power,"Soft power and hard power are conceptualised in International Relations as empirically and normatively dichotomous, and practically opposite – one intangible, attractive, and legitimate, the other tangible, coercive, and less legitimate. This article critiques this binary conceptualisation, arguing that it is discursively constructed with and for the construction of Self and Other. It further demonstrates that practices commonly labelled and understood as soft power and hard power are closely interconnected. Best understood as 'representational force' and 'physical force' respectively, soft and hard power intertwine through the operation of productive and disciplinary forms of power. We illustrate this argument by analysing the Sino-Japanese dispute over the Diaoyu/Senkaku Islands. Both governments exercise representational force in constructing their respective versions of events and Self/Other. The soft/hard power binary itself plays a performative role as the Self is typically associated with soft power and the Other with hard power. The operation of productive power, moreover, privileges the attractiveness of the former and the repellence of the latter, and disciplinary power physically enforces these distinctions on subjects in both states. Finally, reinforced Self/Other distinctions legitimise preparations for violence against the Other on both sides, thus exposing how fundamentally entangled soft and hard power are in practice."
Trends in Economic Inequality and Its Impact on Chinese Nationalism.,"Chen, Rou-Lan",Journal of Contemporary China,Taylor & Francis Ltd,EQUALITY; ECONOMIC policy; NATIONALISM; POPULISM; POLITICAL science; CHINA -- Politics & government; CHINA,,"In 2016, the Brexit referendum and Donald Trump's electoral victory once again brought xenophobic nationalism into the world spotlight. Surprisingly, in the United Kingdom and the United States, a dramatic increase in wealth inequality impelled the working poor to cling more tightly to nationalism. In recent times, China has also witnessed this correlation of resurgent nationalist aspirations and an increasing gap between rich and poor. In light of these international developments, the primary objective of this study is to explore how China's increasing inequality is influencing Chinese nationalism. The question of whether the Chinese youth who agonize over the trend of wealth inequality has paradoxically grown more attached to Chinese nationalism is also intriguing. Based on structural equation modeling, the estimated results show that, conversely, the increase in economic inequality in China has led to a decline in Chinese nationalism. In particular, disaffected Chinese youth with higher education who suffer from increasing economic disparity have been reluctant to embrace nationalism."
Trends in food prepared outside the home in some Asian countries.,"Dawe, David; Briones, Roehlano; Hassan, Nazmul; Hermanto; Huang, Jikun; Ganesh Kumar, A.; Nguyen, Le Hoa; Saliem, Handewi P.; Shaheen, Nazma; Truong, Thi Thu Trang; Wichitaksorn, Nuttanan; Bloem, Sunniva",World Food Policy,Wiley-Blackwell,CITIES & towns; CONSUMPTION (Economics); SOUTH Asia; CHINA; SOUTHEAST Asia; ELASTICITY (Economics); OPPORTUNITY costs; FOOD,eating out; food expenditure; food prepared outside the home; middle‐income Asian countries; rice consumption; comer fuera países asiáticos de ingresos medios; comida preparada fuera de casa; consumo de arroz; gasto en alimentos; 中等收入亚洲国家; 在外消费的食品; 外出就餐; 大米消费; 食品开支,"Urbanization and increasing income per capita in Asian countries are leading to an increasing opportunity cost of time and increasing consumer demand for easier food preparation. One manifestation of this shift in demand is an increase in eating food prepared outside the home. The objectives of this paper are (a) to gather and analyze data on trends in expenditures on food prepared away from home and (b) to understand how these trends might be affecting estimates of rice consumption. The data from national household surveys of seven countries (Bangladesh, India, Indonesia, Philippines, Thailand, and Vietnam and China) were analyzed. The results suggest a positive income elasticity of demand in urban areas and for most countries in East and Southeast Asia, although trends are different in South Asia. Eating out appears to be more common in China and Southeast Asia than in South Asia, even after controlling for income. Constructing estimates of rice eaten outside the home is difficult, and better data collection is essential as it becomes more common to eat food prepared outside the home."
TROUBLING TENSIONS.,"BROWN, DAVID G.; CHURCHMAN, KYLE",Comparative Connections: A Triannual E-Journal on East Asian Bilateral Relations,Center for Strategic & International Studies,"CHINESE Communist Party; CHINA-United States relations; XI, Jinping, 1953-",,"The year began with General Secretary Xi Jinping and President Tsai Ing-wen making major statements that underline the fundamental gap between the Chinese Communist Party (CCP) and Taiwan. In the face of Beijing's continuing pressure on Taiwan, Washington and Taipei took steps to strengthen relations and celebrate the 40th anniversary of the Taiwan Relations Act (TRA). In Congress, members proposed new measures, some of which challenge the established framework for US relations with Taiwan and China. Beijing repeatedly protested these efforts and in April sent two PLA fighters deliberately across the midline of the Taiwan Strait for the first time in 20 years in an ill-defined warning. In Taiwan, maneuvering for the 2020 elections has begun creating a confusing situation with unclear implications for cross-strait and US-Taiwan relations."
